title,version,lyrics,cleaned_lyrics
Don’t Stop Dancing,Original,"
[Verse 1]
At times life is wicked
And I just can't see the light
A silver lining sometimes isn't enough
To make some wrongs seem right
[Refrain]
Whatever life brings
I've been through everything
And now I'm on my knees again
[Pre-Chorus]
But I know, I must go on
Although I hurt, I must be strong
Because inside, I know
That many feel this way
[Chorus]
Children, don't stop dancing
Believe you can fly away, away
[Verse 2]
At times life's unfair
And you know it's plain to see
Hey, God, I know I'm just a dot in this world
Have You forgot about me?
[Refrain]
Whatever life brings
I've been through everything
And now I'm on my knees again
[Pre-Chorus]
But I know, I must go on
Although I hurt, I must be strong
Because inside, I know
That many feel this way
[Chorus]
Children, don't stop dancing
Believe you can fly away, away
[Bridge]
Am I hiding in the shadows?
Forget the pain and forget the sorrows
Am I hiding in the shadows?
Forget the pain and forget the sorrows
[Pre-Chorus]
But I know, I must go on
Although I hurt, I must be strong
Because inside, I know
That many feel this way
[Chorus]
Children, don't stop dancing
Believe you can fly away, away
Children, don't stop dancing
Believe you can fly away, away
Children, don't stop dancing
Believe you can fly away, away
[Outro]
Am I hiding in the shadows?
Are we hiding in the shadows?

",time life wicked ca see light silver lining sometimes enough make wrong seem right whatever life brings everything knee know must go although hurt must strong inside know many feel way child stop dancing believe fly away away time life unfair know plain see hey god know dot world forgot whatever life brings everything knee know must go although hurt must strong inside know many feel way child stop dancing believe fly away away hiding shadow forget pain forget sorrow hiding shadow forget pain forget sorrow know must go although hurt must strong inside know many feel way child stop dancing believe fly away away child stop dancing believe fly away away child stop dancing believe fly away away hiding shadow hiding shadow
Faceless Man,Original,"
[Verse 1]
I spent a day by the river
It was quiet and the wind stood still
I spent some time with nature
To remind me of all that's real
It's funny how silence speaks sometimes when you're alone
And remember that you feel
I said it's funny how silence speaks sometimes when you're alone
And remember that you feel
[Chorus]
Again I stand, Lord, I stand
Against the faceless man
Again I stand, Lord, I stand
Against the faceless man
[Verse 2]
Now I saw a face on the water
It looked humble but willing to fight
I saw the will of a warrior
His yoke is easy and his burden is light
He looked me right in the eyes, direct and concise to remind me
To always do what's right
He looked me right in the eyes, direct and concise to remind me
To always do what's right
[Chorus]
Again I stand, Lord, I stand
Against the faceless man
Again I stand, Lord God, I stand
Against the faceless man
[Verse 3]
Because if the face inside can't see the light, I know
I'll have to walk alone
And if I walk alone to the other side, I know
I might not make it home
[Chorus]
Again I stand, Lord, I stand
Against the faceless man
Again I stand, Lord, I stand
Against the faceless man
[Bridge]
Next time I see this face, I'll say
I choose to live for always
So won't you come inside
And never go away?
Next time I see this face, I'll say
I choose to live for always
So won't you come inside
And never go away?
[Chorus]
Again I stand, Lord, I stand
Against the faceless man
Again I stand, Lord, I stand
Against the faceless man
Again I stand, Lord, I stand
Against the faceless man

",spent day river quiet wind stood still spent time nature remind real funny silence speaks sometimes alone remember feel said funny silence speaks sometimes alone remember feel stand lord stand faceless man stand lord stand faceless man saw face water looked humble willing fight saw warrior yoke easy burden light looked right eye direct concise remind always right looked right eye direct concise remind always right stand lord stand faceless man stand lord god stand faceless man face inside ca see light know walk alone walk alone side know might make home stand lord stand faceless man stand lord stand faceless man next time see face say choose live always wo come inside never go away next time see face say choose live always wo come inside never go away stand lord stand faceless man stand lord stand faceless man stand lord stand faceless man
Fear,Original,"
[Verse 1]
The cradle of civilization sparks my fascination
Truth ignites our generation to change what's been programmed
Inside the mind
[Pre-Chorus]
Don't you turn a blind eye
Change what's been programmed inside
Don't you turn a blind eye
[Chorus]
Listen to me when I tell you
Feel the passion in my breath
Stay on top if they let you
Because the change is permanent
Change is permanent
[Verse 2]
Rudiments of interpersonal communication
Truth will uproot and bring war's devastation to light
[Pre-Chorus]
Don't you turn a blind eye
Change what's been programmed inside
Staying silent is a crime
[Chorus]
Listen to me when I tell you
Feel the passion in my breath
Stay on top if they let you
Because the change is permanent
Change is permanent
[Bridge]
Change starts in your mind
Leave the past behind
Forget everything you know
Make a change, let go
Change starts in your mind
Leave the past behind
Forget everything you know
Make a change, let go
Change starts in your mind
Leave the past behind
Forget everything you know
Make a change, let go
Let go, let go, let go, let go
[Chorus]
Listen to me when I tell you
Feel the passion in my breath
Stay on top if they let you
Because the change is permanent
Listen to me when I tell you
Feel the passion in my breath
Stay on top if they let you
Because the change is permanent
Change is permanent
[Outro]
Leave the past behind
Leave the past behind
Make a change, let go
Let go, let go, let go, let go, let go

",cradle civilization spark fascination truth ignites generation change programmed inside mind turn blind eye change programmed inside turn blind eye listen tell feel passion breath stay top let change permanent change permanent rudiment interpersonal communication truth uproot bring war devastation light turn blind eye change programmed inside staying silent crime listen tell feel passion breath stay top let change permanent change permanent change start mind leave past behind forget everything know make change let go change start mind leave past behind forget everything know make change let go change start mind leave past behind forget everything know make change let go let go let go let go let go listen tell feel passion breath stay top let change permanent listen tell feel passion breath stay top let change permanent change permanent leave past behind leave past behind make change let go let go let go let go let go let go
Fly Away,Original,"
[Pre Chorus]
Fly Away
Fly Away
[Chorus]
We got the wings now we gonna fly (gonna fly)
Tell your problems now it's time to stand down, because of Him you will rise above (rise above)
We going up
We going up, so hands up
We got the wings now we gonna fly (gonna fly)
Tell your problems now it's time to stand down, because of Him you will rise above (rise above)
We going up
We going up, so hands up
[verse 1]
Too many battles we fighting and we winning, we going up high its a victory flight
Counting em blessings this life is amazing we are now elevating we are amongst the stars
Up on this mountain thе fire is still burning we raise it up high and wе are given the light
We are only human but the God we are serving is bigger and greater He gave us the light
Mmmh better mind what you saying because you know about the power of the tongue
Life is amazing I say it's amazing but staying with God is way better than that
It's like a preaching, but one with a rhythm done by The Creed and they are raising the bar
(We leveling up, we leveling up yeah because of our Christ)
We are the light
We are the light
(Yeah) Let's raise it up high
We gonna shine
We gonna shine
(Yeah) We lighting the sky
We going up
We going up
(Yeah) We touching the sky
We leveling up
We leveling up
(Yeah) Because of our Christ
[Pre Chorus]
Fly Away
(We going up, we going up)
Fly Away
(Yeah)
[Chorus]
We got the wings now we gonna fly (gonna fly)
Tell your problems now it's time to stand down, because of Him you will rise above (rise above)
We going up
We going up, so hands up
We got the wings now we gonna fly (gonna fly
Tell your problems now it's time to stand down,  because of Him you will rise above (rise above)
We going up
We going up, so hands up
[Verse 2]
Wanna murder,the, flow
Blessings, galore, yeah they come
I ain't, got time to run
I am on fire surrounded by light
Fly as a kite high as a what
High as the sun
Visualizing the wings on my back
And I'm telling a problem to take a step back
Yeah I was made for this, I put my heart and soul to this yeah
So Its only right that I make it out
Yeah ,Straight to the top
Ain't gat no time to be falling out
With God by my side ,the holy spirit is where I reside
Now won't go ahead and put your hands up, won't you go and put your hands up
Coz we bout to take flight
[Pre Chorus]
Fly Away
(We going up, we going up)
Fly Away
(Yeah)
[Chorus]
We got the wings now we gonna fly (gonna fly)
Tell your problems now it's time to stand down, because of Him you will rise above (rise above)
We going up
We going up, so hands up
We got the wings now we gonna fly (gonna fly)
Tell your problems now it's time to stand down, because of Him you will rise above (rise above)
We going up
We going up, so hands up
Fly Away
Fly Away

",fly away fly away got wing gon na fly gon na fly tell problem time stand rise rise going going hand got wing gon na fly gon na fly tell problem time stand rise rise going going hand many battle fighting winning going high victory flight counting em blessing life amazing elevating amongst star mountain thе fire still burning raise high wе given light human god serving bigger greater gave u light mmmh better mind saying know power tongue life amazing say amazing staying god way better like preaching one rhythm done creed raising bar leveling leveling yeah christ light light yeah let raise high gon na shine gon na shine yeah lighting sky going going yeah touching sky leveling leveling yeah christ fly away going going fly away yeah got wing gon na fly gon na fly tell problem time stand rise rise going going hand got wing gon na fly gon na fly tell problem time stand rise rise going going hand wan na murder flow blessing galore yeah come ai got time run fire surrounded light fly kite high high sun visualizing wing back telling problem take step back yeah made put heart soul yeah right make yeah straight top ai gat time falling god side holy spirit reside wo go ahead put hand wo go put hand coz bout take flight fly away going going fly away yeah got wing gon na fly gon na fly tell problem time stand rise rise going going hand got wing gon na fly gon na fly tell problem time stand rise rise going going hand fly away fly away
Freedom Fighter,Original,"
[Verse 1]
The mouths of envious always find another door
While at the gates of paradise they beat us down some more
Our mission's set in stone because the writing's on the wall
I'll scream it from the mountain tops pride comes before a fall
[Verse 2]
So many thoughts to share, all this energy to give
Unlike those who hide the truth, I tell it like it is
If the truth will set you free I feel sorry for your soul
Can't you hear the ringing? 'Cause for you the bell tolls
[Chorus]
I'm just a freedom fighter, no remorse
Raging on in holy war
Soon there'll come a day
When you're face to face with me
Face to face with me
Face to face with me
Face to face with me
[Bridge]
Can't you hear us coming?
People marching all around
Can't you see me coming?
Close your eyes, it's over now
Can't you hear us coming?
The fight has only just begun
Can't you see we're coming?
Can't you see we're coming?
Can't you see we're coming?
Can't you hear us coming?
[Chorus]
I'm just a freedom fighter, no remorse
Raging on in holy war
Soon there'll come a day
When you're face to face with me
Freedom fighter, no remorse
Raging on in holy war
Soon there'll come a day
When you're face to face to
Face to face to face to face with me

",mouth envious always find another door gate paradise beat u mission set stone writing wall scream mountain top pride come fall many thought share energy give unlike hide truth tell like truth set free feel sorry soul ca hear ringing bell toll freedom fighter remorse raging holy war soon come day face face face face face face face face ca hear u coming people marching around ca see coming close eye ca hear u coming fight begun ca see coming ca see coming ca see coming ca hear u coming freedom fighter remorse raging holy war soon come day face face freedom fighter remorse raging holy war soon come day face face face face face face
Full Circle,Original,"
[Verse 1]
Got your freedom now, boy, who do you serve?
Took for granted what you should have preserved
No time left, no time left to make amends
Keep burning bridges while you're buying your new friends
[Pre-Chorus]
A day of reflection hits, you're a shell
Skin and bones, counting costs
Is it worth your soul?
A day of reflection hits
[Chorus]
It's funny how times can change
Rearrange and distance makes
The pain fade away
So important then, doesn't matter now
Both feet on the ground
Come full circle, yeah
Come full circle
[Verse 2]
No access granted now, boy, you've been denied
Jump the fence to see what's on the other side
Are you wanted, are you wanted? The question is
Could second chances mean another impression?
[Pre-Chorus]
A day of reflection hits, you're a shell
Skin and bones, counting costs
Is it worth your soul?
A day of reflection hits
[Chorus]
It's funny how times can change
Rearrange and distance makes
The pain fade away
So important then, doesn't matter now
Both feet on the ground
Come full circle
We come full circle
[Bridge]
I got one foot stuck in heaven, yeah, one boot stuck in hell
I looked at God, he winked at me, I made this mess myself
Don't be surprised and don't deny, hear every word I say
Close the door and don't look back or you will fade away
[Chorus]
It's funny how times can change
Rearrange and distance makes
The pain fade away
It's funny how times can change
Rearrange and distance makes
The pain fade away
So important then, doesn't matter now
Both feet on the ground
Come full circle
[Guitar Solo]
[Outro]
Full circle
Come full circle
We have come
Full circle

",got freedom boy serve took granted preserved time left time left make amends keep burning bridge buying new friend day reflection hit shell skin bone counting cost worth soul day reflection hit funny time change rearrange distance make pain fade away important matter foot ground come full circle yeah come full circle access granted boy denied jump fence see side wanted wanted question could second chance mean another impression day reflection hit shell skin bone counting cost worth soul day reflection hit funny time change rearrange distance make pain fade away important matter foot ground come full circle come full circle got one foot stuck heaven yeah one boot stuck hell looked god winked made mess surprised deny hear every word say close door look back fade away funny time change rearrange distance make pain fade away funny time change rearrange distance make pain fade away important matter foot ground come full circle full circle come full circle come full circle
Good Fight,Original,"
[Verse 1]
I give my all my everything
Anything you want I've tried to be
I try, God knows I try
Or am I stuck somewhere between
Who I am and who I hope to be?
Am I fighting the good fight
[Chorus]
Keep pressing on
Fight the good fight
Fight, what you know is wrong
Keep pressing on
Fight the good fight
Fight, what you know is wrong
[Verse 2]
I've come so far to fall too fast
Eyes forward, I can't look back
Why try? God knows I try
I shift my eyes to the sky
In the distance see the horizon line
She waits for me, fighting the good fight
[Chorus]
Keep pressing on
Fight the good fight
Fight, what you know is wrong
Keep pressing on
Fight the good fight
Fight, what you know is wrong
[Verse 3]
I give my all, my everything
Anything you want I strive to be
Am I stuck somewhere between
Who I am and who I hope to be? (What you know is wrong)
Fighting, I'm fighting
Fighting the good fight (What you know is wrong)
Am I stuck somewhere in between
Who I am and who I hope to be
[Guitar Solo]
[Chorus]
Keep pressing on
Fight the good fight
Fight, what you know is wrong
Keep pressing on
Fight the good fight
Fight, what you know is wrong
[Outro]
Remember that sometimes I fall in between
The nights blue moon and the shadows it keeps
Fight on, fight the good fight (What you know is wrong)
And I'll keep fighting the good fight (And I'll keep fighting)
Press on and fight (What you know is wrong)
Fight the good fight, fight on (Press on and fight)
Keep fighting the good fight
Fight on, fight on
Fight on
Keep fighting the good fight
Fight on, fight on

",give everything anything want tried try god know try stuck somewhere hope fighting good fight keep pressing fight good fight fight know wrong keep pressing fight good fight fight know wrong come far fall fast eye forward ca look back try god know try shift eye sky distance see horizon line wait fighting good fight keep pressing fight good fight fight know wrong keep pressing fight good fight fight know wrong give everything anything want strive stuck somewhere hope know wrong fighting fighting fighting good fight know wrong stuck somewhere hope keep pressing fight good fight fight know wrong keep pressing fight good fight fight know wrong remember sometimes fall night blue moon shadow keep fight fight good fight know wrong keep fighting good fight keep fighting press fight know wrong fight good fight fight press fight keep fighting good fight fight fight fight keep fighting good fight fight fight
Good Weather,Original,"
[그리즐리 ""Good Weather"" 가사]
[Verse 1]
네 무릎에 걸터앉아 have a good morning to my puppies
따뜻한 티 상쾌한 아침
부터 다시 맞은 눈빛
꽃병에 물은 내가 줄게
넌 간단한 요리 준비해 줄래
내가 앞치마 둘러줄게
또 보고 놀래 너의 허리둘레
땋아올린 머리 pony tale
[Pre-Chorus]
날씨가 좋아서 널 가만둘 수가 없어
(You don’t need to take a shower, 가져다줄게, my flower)
날씨가 좋아서 커튼을 젖혔어, oh yeah
(약간의 빛만 들어오게끔, yeah, running out is an hour)
[Chorus]
Oh good weather, my flower
어제보다 더 뜨겁게, 널 사랑할게 나
Oh good weather, my flower
어제보다 더 뜨겁게, 널 아껴줄게 나
[Verse 2]
오후가 되면 저기
한강 근처에 다녀올까
Or 집에서 영화나 볼까
아님 같이 누워서 시시콜콜
일상적인 대화를 나눌까
사실 우린 이미 영화 속 주인공
넌 신데렐라 난 널 지키는 손오공
너와 함께면 삶의 의미가 생겨
네 예쁜 미소는 덤
[Pre-Chorus]
날씨가 좋아서 널 가만둘 수가 없어
(You don’t need to take a shower, 가져다줄게, my flower)
날씨가 좋아서 커튼을 젖혔어, oh yeah
(약간의 빛만 들어오게끔, yeah, running out is an hour)
[Chorus]
Oh good weather, my flower
어제보다 더 뜨겁게, 널 사랑할게 나
Oh good weather, my flower
어제보다 더 뜨겁게, 널 아껴줄게 나
[Instrumental Break]
[Chorus]
Oh good weather, my flower
어제보다 더 뜨겁게, 널 사랑할게 나
Oh good weather, my flower
어제보다 더 뜨겁게, 널 아껴줄게 나

",네 무릎에 걸터앉아 good morning puppy 따뜻한 티 상쾌한 아침 부터 다시 맞은 눈빛 꽃병에 물은 내가 줄게 넌 간단한 요리 준비해 줄래 내가 앞치마 둘러줄게 또 보고 놀래 너의 허리둘레 땋아올린 머리 pony tale 날씨가 좋아서 널 가만둘 수가 없어 need take shower 가져다줄게 flower 날씨가 좋아서 커튼을 젖혔어 oh yeah 약간의 빛만 들어오게끔 yeah running hour oh good weather flower 어제보다 더 뜨겁게 널 사랑할게 나 oh good weather flower 어제보다 더 뜨겁게 널 아껴줄게 나 오후가 되면 저기 한강 근처에 다녀올까 집에서 영화나 볼까 아님 같이 누워서 시시콜콜 일상적인 대화를 나눌까 사실 우린 이미 영화 속 주인공 넌 신데렐라 난 널 지키는 손오공 너와 함께면 삶의 의미가 생겨 네 예쁜 미소는 덤 날씨가 좋아서 널 가만둘 수가 없어 need take shower 가져다줄게 flower 날씨가 좋아서 커튼을 젖혔어 oh yeah 약간의 빛만 들어오게끔 yeah running hour oh good weather flower 어제보다 더 뜨겁게 널 사랑할게 나 oh good weather flower 어제보다 더 뜨겁게 널 아껴줄게 나 oh good weather flower 어제보다 더 뜨겁게 널 사랑할게 나 oh good weather flower 어제보다 더 뜨겁게 널 아껴줄게 나
Hide,Original,"
[Verse 1]
To what do I owe this gift, my friend?
My life, my love, my soul?
I've been dancing with the devil way too long
And it's making me grow old
Making me grow old, yeah
[Chorus]
Let's leave, oh, let's get away
Get lost in time
Where there's no reason left to hide, yeah
Let's leave, oh, let's get away
Run in fields of time
Where there's no reason left to hide
No reason left to hide
[Verse 2]
What you're going to do with your gift, dear child?
Give life, give love, give soul
Divided is the one who dances
For the soul is so exposed
So exposed
[Chorus]
Let's leave, oh, let's get away
Get lost in time
Where there's no reason left to hide, yeah
Let's leave, oh, let's get away
Run in fields of time
Where there's no reason left to hide
No reason left to hide
[Bridge]
There is no reason to hide
There is no reason to hide
There is no reason to hide
There is no reason to hide
Yeah
[Chorus]
Let's leave, oh, let's get away
Get lost in time
Where there's no reason left to hide, yeah
Let's leave, oh, let's get away
Run in fields of time
Where there's no reason left to hide, yeah
Let's leave all this and get away
Get lost in time
Where there's no reason left to hide
[Outro]
No reason to hide
There is no reason to hide
No reason to hide
There is no reason to hide
No reason to hide

",owe gift friend life love soul dancing devil way long making grow old making grow old yeah let leave oh let get away get lost time reason left hide yeah let leave oh let get away run field time reason left hide reason left hide going gift dear child give life give love give soul divided one dance soul exposed exposed let leave oh let get away get lost time reason left hide yeah let leave oh let get away run field time reason left hide reason left hide reason hide reason hide reason hide reason hide yeah let leave oh let get away get lost time reason left hide yeah let leave oh let get away run field time reason left hide yeah let leave get away get lost time reason left hide reason hide reason hide reason hide reason hide reason hide
Higher,Original,"
[Verse 1]
When dreaming, I'm guided to another world
Time and time again
At sunrise, I fight to stay asleep
'Cause I don't wanna leave the comfort of this place
'Cause there's a hunger, a longing to escape
From the life I live when I'm awake
[Pre-Chorus]
So let's go there
Let's make our escape
Come on, let's go there
Let's ask, ""Can we stay?""
[Chorus]
Can you take me higher
To a place where blind men see?
Can you take me higher
To a place with golden streets?
[Verse 2]
Although I would like our world to change
It helps me to appreciate
Those nights and those dreams
But, my friend, I'd sacrifice all those nights
If I could make the Earth and my dreams the same
The only difference is to let love replace all our hate
[Pre-Chorus]
So let's go there
Let's make our escape
Come on, let's go there
Let's ask, ""Can we stay?""
[Chorus]
Can you take me higher
To a place where blind men see?
Can you take me higher
To a place with golden streets?
[Post-Chorus]
So let's go there (Let's go there)
Let's go there (Let's go there)
Come on, let's go there (Go, go there)
Let's ask, ""Can we stay?""
[Instrumental Break]
[Bridge]
Up high, I feel like I'm alive for the very first time
Sail up high, I'm strong enough
To take these dreams and make them mine
Sail up high, I'm strong enough
To take these dreams and make them mine
[Chorus]
Can you take me higher
To a place where blind men see?
Can you take me higher
To a place with golden streets?
Can you take me higher
To a place where blind men see?
Can you take me higher
To a place with golden streets?

",dreaming guided another world time time sunrise fight stay asleep wan na leave comfort place hunger longing escape life live awake let go let make escape come let go let ask stay take higher place blind men see take higher place golden street although would like world change help appreciate night dream friend sacrifice night could make earth dream difference let love replace hate let go let make escape come let go let ask stay take higher place blind men see take higher place golden street let go let go let go let go come let go go go let ask stay high feel like alive first time sail high strong enough take dream make mine sail high strong enough take dream make mine take higher place blind men see take higher place golden street take higher place blind men see take higher place golden street
Higher Acoustic,Original,"
When dreaming
I'm guided through another world time and time again
At sunrise
I fight to stay asleep 'cause I don't wanna leave the comfort of this place
'Cause there's a hunger and a longing to escape
The life I live when I'm awake
So let's go there, let's make our escape
C'mon let's go there, let's ask can we stay
Can you take me higher
To a place where blind men see?
Can you take me higher
To a place with golden streets?
Although I would like the world to change
It helps me to appreciate those nights and those dreams
But my friend I'd sacrifice all those nights
If I could only make the earth and my dreams the same
The only difference is to let love
Replace all our hate
So let's go there, let's make our escape
C'mon let's go there, let's ask can we stay
Can you take me higher
To a place where blind men see?
Can you take me higher
To a place with golden streets?
So let's go there, let's make our escape
C'mon let's go there, let's ask can we stay
Up high I feel like I'm alive for the very first time
Up high I'm strong enough to take these dreams and make them mine
Can you take me higher
To a place where blind men see?
Can you take me higher
To a place with golden streets?
Can you take me higher
To a place where blind men see?
Can you take me higher
To a place with golden streets?

",dreaming guided another world time time sunrise fight stay asleep wan na leave comfort place hunger longing escape life live awake let go let make escape let go let ask stay take higher place blind men see take higher place golden street although would like world change help appreciate night dream friend sacrifice night could make earth dream difference let love replace hate let go let make escape let go let ask stay take higher place blind men see take higher place golden street let go let make escape let go let ask stay high feel like alive first time high strong enough take dream make mine take higher place blind men see take higher place golden street take higher place blind men see take higher place golden street
Illusion,Original,"
[Verse 1]
The sun rises to another day
My constitution keeps changing 'til it slips away
So I lie awake and stare
My mind thinking, just wondering does anybody care?
[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an illusion?
[Verse 2]
Sitting in my room now
Hiding thoughts, just hoping one day I'll get out
I hear a voice call my name
Breaking trance so silent, so I can stay the same
[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an illusion?
[Guitar Solo]
[Bridge]
Wait now, many things are left unsaid
This life remains the same but I change
I try to fool myself in believing
Things are going to get better but life goes on
[Chorus]
Should I stay or go?
Should I sleep or stay awake?
Am I really happy or is it all
Just an illusion?
[Outro]
Just an illusion
Just an illusion
Just an illusion
Just an illusion
Just an illusion
Just an illusion
Just an illusion

",sun rise another day constitution keep changing slip away lie awake stare mind thinking wondering anybody care stay go sleep stay awake really happy illusion sitting room hiding thought hoping one day get hear voice call name breaking trance silent stay stay go sleep stay awake really happy illusion wait many thing left unsaid life remains change try fool believing thing going get better life go stay go sleep stay awake really happy illusion illusion illusion illusion illusion illusion illusion illusion
In America,Original,"
[Verse 1]
Only in America
We're slaves to be free
Only in America we kill the unborn
To make ends meet
Only in America
Sexuality is democracy
Only in America we stamp our God
“In God We Trust”
[Chorus]
What is right or wrong
I don't know who to believe in
My soul sings a different song
In America
What is right or wrong
I don't know who to believe in
My soul sings a different song
In America, In America, In America
[Verse 2]
Church bells ringing
Pass the plate around
The choir is singing
As their leader falls to the ground
Please mister prophet man
Tell me which way to go
I gave my last dollar
Can I still come to your show
[Chorus]
What is right or wrong
I don't know who to believe in
My soul sings a different song
In America
What is right or wrong
I don't know who to believe in
My soul sings a different song
In America, In America, In America
[Bridge]
I am right and you are wrong
I am right and you are wrong
I am right and you are wrong
No one's right and no one's wrong
In America, In America, In America, In America
[Chorus]
What is right or wrong
I don't know who to believe in
My soul sings a different song
In America
What is right or wrong
I don't know who to believe in
My soul sings a different song
In America, In America, In America
[Outro]
In America
What is right for you and me?
In America

",america slave free america kill unborn make end meet america sexuality democracy america stamp god god trust right wrong know believe soul sings different song america right wrong know believe soul sings different song america america america church bell ringing pas plate around choir singing leader fall ground please mister prophet man tell way go gave last dollar still come show right wrong know believe soul sings different song america right wrong know believe soul sings different song america america america right wrong right wrong right wrong one right one wrong america america america america right wrong know believe soul sings different song america right wrong know believe soul sings different song america america america america right america
In The Rain,Original,"
Its been some years now
Did a lot of drugs
They never healed the cuts
I wanna feel your love
I wanna be in your arms again
There's no hope left for us
This is the end of all we know
I was so quick to let you go
Who'd knew I'd be the one who still can't let go
And now I think I know
What it's like to lose control
I haven't felt the good light
Since the day you died
I can see your face
In the rain at night
In the rain at night
In the rain at night
In the rain, I sing to you
I cry

",year lot drug never healed cut wan na feel love wan na arm hope left u end know quick let go knew one still ca let go think know like lose control felt good light since day died see face rain night rain night rain night rain sing cry
Inside Us All,Original,"
[Verse 1]
When I'm all alone
And no one else is there
Waiting by the phone
To remind me I'm still here
When shadows paint the scenes
Where spotlights used to fall
And I'm left wondering
Is it really worth it all?
[Chorus]
There's a peace inside us all
Let it be your friend
It will help you carry on
In the end
There's a peace inside us all
[Verse 2]
Life can hold you down
When you're not looking up
Can't you hear the sounds?
Hearts beating out loud
Although the names change
Inside we're all the same
Why can't we tear down the walls?
And show the scars we're covering
[Chorus]
There's a peace inside us all
Let it be your friend
It will help you carry on
In the end
There's a peace inside us all
[Bridge]
There's a peace, oh, there's a peace inside us all
Let it be, oh, I said, let it be
Let it be your friend
[Chorus]
There's a peace inside us all
Let it be your friend
It will help you carry on
In the end
There's a peace inside us all
[Outro]
There's a peace, inside us all, inside us all
(There's a peace inside us all)
Let it be, let it be, let it be, let it be
Let it be, let it be, let it be
(There's a peace inside us all)
Let it be your friend
(There's a peace inside us all)

",alone one else waiting phone remind still shadow paint scene spotlight used fall left wondering really worth peace inside u let friend help carry end peace inside u life hold looking ca hear sound heart beating loud although name change inside ca tear wall show scar covering peace inside u let friend help carry end peace inside u peace oh peace inside u let oh said let let friend peace inside u let friend help carry end peace inside u peace inside u inside u peace inside u let let let let let let let peace inside u let friend peace inside u
Is This The End?,Acoustic Version,"
The rage in my eyes
Could have compared to the eye of the sun
Then rage Took it's course through the hands of the son
Revenge for all time
The world is at war leaving all fault behind
And I ask so
Is this the end
For us my friend
So, is this the end
For us my friend
The stains on his side
Cover the sins of mankind and his pride
That night, he died
But rose once again to sit down by his side
He reigns for all time
Taking the keys back for your life
And mine
And I ask so
Is this the end for us my friend
So, is this the end for us my friend
So, is this the end for us my friend, oh yeah
But as the wind rides
As the day breaks the dawn
And as the moon hides the sun, oh the sun
No more sorrow, oh your crying days are gone
No more sorrow, now its gone, now its gone
They're gone
They're gone
They're gone
And I ask so
Is this the end for us my friend
So, is this the end for us my friend
So, is this the end for us my friend
So, is this the end for us my friend

",rage eye could compared eye sun rage took course hand son revenge time world war leaving fault behind ask end u friend end u friend stain side cover sin mankind pride night died rose sit side reign time taking key back life mine ask end u friend end u friend end u friend oh yeah wind ride day break dawn moon hide sun oh sun sorrow oh cry day gone sorrow gone gone gone gone gone ask end u friend end u friend end u friend end u friend
Is This the End?,Original,"
[Verse 1]
The rage in my eyes could have compared to the eye of the sun
Then rain took it's course through the hands of the son
Revenge for all time, the world is at war, leaving all hope behind
[Chorus]
So, is this the end for us, my friend?
So, is this the end for us, my friend?
[Verse 2]
The stains in the sky are there to remind us of man and his pride
When two worlds collide, one steals the life like a thief in the night
So look to the sky, he holds the keys for your life and mine
[Chorus]
So, is this the end for us, my friend?
So, is this the end for us, my friend?
So, is this the end for us, my friend?
[Bridge]
Well, as though we rise
As the day breaks the dawn
And as the moon hides the sun
Oh, the sun
No more sorrow
All those crying days are gone
No more sorrow, now it's gone
Now it's gone
Now it's gone
[Chorus]
So, is this the end for us, my friend?
So, is this the end for us, my friend?
So, is this the end for us, my friend?
So, is this the end for us, my friend?
So, is this the end for us, my friend?

",rage eye could compared eye sun rain took course hand son revenge time world war leaving hope behind end u friend end u friend stain sky remind u man pride two world collide one steal life like thief night look sky hold key life mine end u friend end u friend end u friend well though rise day break dawn moon hide sun oh sun sorrow cry day gone sorrow gone gone gone end u friend end u friend end u friend end u friend end u friend
I’m Eighteen,Original,"
[Verse 1]
Lines form on my face and hands
Lines form from the ups and downs
I'm in the middle without any plan
I'm a boy and I'm a man
[Chorus]
I'm eighteen and I don't know what I want
Eighteen, I just don't know what I want
Eighteen, I gotta get away
I've gotta get out of this place
I'll go running in outer space, oh yeah
[Verse 2]
I've got a baby's brain and an old man's heart
Took eighteen years to get this far
Don't always know what I'm talking about
Feels like I'm living in the middle of doubt
[Chorus]
'Cause I'm eighteen, I get confused every day
Eighteen, I just don't know what to say
Eighteen, I gotta get away
[Verse 3]
Oh, lines form on my face and my hands
Lines form on the left and right
I'm in the middle, the middle of life
I'm a boy and I'm a man
[Outro]
I'm eighteen and I like it
Yes, I like it
Well, I like it, love it, like it, love it
Eighteen, eighteen, eighteen
I'm eighteen and I like it

",line form face hand line form ups down middle without plan boy man eighteen know want eighteen know want eighteen got ta get away got ta get place go running outer space oh yeah got baby brain old man heart took eighteen year get far always know talking feel like living middle doubt eighteen get confused every day eighteen know say eighteen got ta get away oh line form face hand line form left right middle middle life boy man eighteen like yes like well like love like love eighteen eighteen eighteen eighteen like
